Transcript	SRR6080007	SRR6080008	SRR6080009	SRR6080012	SRR6080013	SRR6080014
AT3G20557.1	0	0	0	0	0	0
AT3G20557.2	1	0	0	1	0	1
AT3G20557.3	0	0	0	0	0	0
AT3G20560.1	207	244	226	279	197	222.593
AT3G20570.1	649	434	740	925	704	1036
AT3G20580.1	2	1	0	1	1	1
AT3G20590.1	0	0	1.09073	1.07261	0	2.137
AT3G20600.1	171	170	156.909	493.927	400	386.863
AT3G20610.1	0	0	0	0	0	0
AT3G20620.1	190	218	156	270	214	235
AT3G20630.1	554	593	562	804	684	693
AT3G20640.1	86.9734	61.0245	94.733	78.6469	43.6047	70.9488
AT3G20640.2	50.7422	87.6824	31.6775	54.7594	47.5492	36.4972
AT3G20640.3	19.8044	49.1379	24.1899	85.4523	39.7087	46.6592
AT3G20640.4	21.1164	0	22.4034	28.3454	29.3553	70.4104
AT3G20650.1	26.2792	20.0546	175.757	210.265	157.134	32.9167
AT3G20650.2	121.503	181.042	12.6703	22.0596	30.4754	120.26
AT3G20650.3	129.218	125.903	76.573	136.675	116.39	197.824
AT3G20655.1	0	0	0.110011	0	0	0
AT3G20660.1	31	41	53	79	75	71
AT3G20670.1	575.143	563.459	577.495	515.191	480.019	579.311
AT3G20680.1	1107.64	914.007	1085.77	709.614	883.049	816.138
AT3G20690.1	0	0	0	0	0	0
AT3G20700.1	0	0	0	0	0	0
AT3G20710.1	1	0	1	0	0	0
AT3G20720.1	1.65859e-8	0	0	1.18113e-5	72.9041	55.1281
AT3G20720.2	580.941	664.431	505	904.892	721.096	745.85
AT3G20730.1	13.4309	26.1485	6.68164	19.0153	5.55714	6.69044
AT3G20740.1	374.972	380.949	286	419	381	382
AT3G20750.1	0	0	0	0	0	0
AT3G20760.1	98	92	82	97	50	98
AT3G20770.1	1872.4	1719.5	2171.77	3290.68	3232.88	3204.06
AT3G20780.1	125	230	148	195	214	182
AT3G20790.1	606.525	686.725	500.569	751.642	657.739	729.899
AT3G20800.1	323.475	359.275	345.431	511.358	435.261	484.101
AT3G20810.1	0	0	0	0.0821147	0	0
AT3G20810.2	0	0	0	5.76329	0	0
AT3G20810.3	0	0	0	5.69011e-4	0	0
AT3G20810.4	8	23	0	0	0	19.8435
AT3G20810.5	0	0	14	37.154	42	38.1565
AT3G20820.1	2318	2226	2705.27	1819	1634	1666
AT3G20830.1	160	162	180	174.285	216	234
AT3G20840.1	0	0	0	0	0	0
AT3G20850.1	0	1	0	0	1	1
AT3G20860.1	68	94	91	144	137	155
AT3G20865.1	40	60	57	15	9	20
AT3G20870.1	308.591	343.959	291.379	293.063	365.509	244.35
AT3G20870.2	33.3854	0	8.0652	27.6355	25.5667	17.8521
